sector,start_utc,stop_utc,mid_utc,mid_tjd,freq_cyc/day,
71,2023-10-16,2023-11-11,2023-10-29,3246.5,0.0756910886237846,26
72,2023-11-11,2023-12-07,2023-11-24,3272.5,0.0748873065169467,26
73,2023-12-07,2024-01-03,2023-12-20,3299,0.0740179809603768,26.5
74,2024-01-03,2024-01-30,2024-01-16,3326,0.0721975421064662,27
75,2024-01-30,2024-02-26,2024-02-12,3353,0.0706195967192676,27
76,2024-02-26,2024-03-26,2024-03-11,3381,0.0692320243294986,28
77,2024-03-26,2024-04-23,2024-04-09,3409.5,0.0687184354237378,28.5
78,2024-04-23,2024-05-21,2024-05-07,3437.5,0.069299527769204,28
79,2024-05-21,2024-06-18,2024-06-04,3465.5,0.0710119280847681,28
80,2024-06-18,2024-07-15,2024-07-01,3493,0.0737120847722759,27.5
81,2024-07-15,2024-08-10,2024-07-28,3519.5,0.0751338770645397,26.5
82,2024-08-10,2024-09-05,2024-08-23,3545.5,0.0758659898917597,26
83,2024-09-05,2024-10-01,2024-09-18,3571.5,0.0759410544711571,26
84,2024-10-01,2024-10-26,2024-10-13,3597,0.076168753021675,25.5
85,2024-10-26,2024-11-21,2024-11-08,3622.5,0.0772308801924679,25.5
86,2024-11-21,2024-12-18,2024-12-04,3649,0.0751055586668298,26.5
87,2024-12-18,2025-01-14,2024-12-31,3676,0.0722393174701713,27
88,2025-01-14,2025-02-11,2025-01-28,3703.5,0.0696661907464006,27.5
89,2025-02-11,2025-03-12,2025-02-25,3732,0.070112620469991,28.5
90,2025-03-12,2025-04-09,2025-03-26,3760.5,0.071745972146935,28.5
91,2025-04-09,2025-05-07,2025-04-23,3788.5,0.0703826784043014,28
92,2025-05-07,2025-06-03,2025-05-20,3816,0.0726045482554246,27.5
93,2025-06-03,2025-06-29,2025-06-16,3842.5,0.0764533259974335,26.5
94,2025-06-29,2025-07-25,2025-07-12,3868.5,0.0757716873283276,26
